FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
5616,United,9402,ATL,SFO,2024-09-01 23:23,2024-09-01 23:29,2024-09-02 05:23,2024-09-02 05:16,-7,,True,False,Boeing 777,N34539,1139
85876,Southwest,4410,JFK,SFO,2024-09-01 21:54,2024-09-01 22:02,2024-09-02 00:54,2024-09-02 00:53,-1,,True,True,Boeing 737,N20369,2632
613661,United,4470,LAX,SEA,2024-09-01 11:33,2024-09-01 11:36,2024-09-01 12:33,2024-09-01 12:29,-4,,True,True,Boeing 777,N15839,292
55669,Delta,4834,ATL,MIA,2024-09-01 11:22,2024-09-01 11:50,2024-09-01 16:22,2024-09-01 16:38,16,Air Traffic Control,False,True,Boeing 737,N31901,705
31765,United,3304,ATL,MIA,2024-09-01 00:28,2024-09-01 00:45,2024-09-01 06:28,2024-09-01 06:57,29,Air Traffic Control,True,False,Airbus A320,N95703,205
1559109,American Airlines,1683,ATL,SEA,2024-09-01 18:22,2024-09-01 18:38,2024-09-01 20:22,2024-09-01 20:13,-9,,False,True,Boeing 737,N84052,1032
165786,United,6219,DFW,SEA,2024-09-01 17:16,2024-09-01 17:18,2024-09-01 18:16,2024-09-01 18:12,-4,,True,True,Airbus A320,N13901,2692
541127,Southwest,2414,ATL,MIA,2024-09-01 19:13,2024-09-01 19:23,2024-09-01 23:13,2024-09-01 23:25,12,Weather,False,False,Boeing 777,N83789,862
1559766,Delta,390,ATL,JFK,2024-09-01 13:02,2024-09-01 13:31,2024-09-01 15:02,2024-09-01 14:58,-4,,False,True,Airbus A320,N32643,2551
883594,American Airlines,5515,ATL,BOS,2024-09-01 03:47,2024-09-01 04:11,2024-09-01 09:47,2024-09-01 09:47,0,,False,False,Boeing 777,N72810,257
146559,Southwest,6563,DFW,JFK,2024-09-01 06:15,2024-09-01 06:20,2024-09-01 10:15,2024-09-01 10:32,17,Weather,True,False,Airbus A320,N51240,2526
1718165,American Airlines,8442,DFW,SFO,2024-09-01 18:45,2024-09-01 18:46,2024-09-02 00:45,2024-09-02 01:13,28,Air Traffic Control,True,False,Boeing 777,N32526,189
380402,American Airlines,6132,ORD,SFO,2024-09-01 10:38,2024-09-01 10:52,2024-09-01 13:38,2024-09-01 13:32,-6,,False,False,Airbus A320,N11506,1625
195084,American Airlines,2935,ATL,SFO,2024-09-01 21:08,2024-09-01 21:09,2024-09-02 02:08,2024-09-02 02:27,19,Maintenance,False,True,Boeing 737,N17584,447
457380,American Airlines,5563,DFW,MIA,2024-09-01 17:16,2024-09-01 17:43,2024-09-01 18:16,2024-09-01 18:34,18,Weather,False,True,Boeing 737,N76764,1267
1488956,United,5021,ORD,SEA,2024-09-01 15:52,2024-09-01 16:21,2024-09-01 19:52,2024-09-01 19:51,-1,,False,False,Boeing 737,N94640,1354
381097,Delta,9909,ORD,JFK,2024-09-01 16:54,2024-09-01 17:10,2024-09-01 20:54,2024-09-01 20:54,0,,False,True,Airbus A320,N11916,811
210901,Delta,6077,ATL,SEA,2024-09-01 01:45,2024-09-01 02:05,2024-09-01 02:45,2024-09-01 02:56,11,Weather,False,True,Airbus A320,N34570,2805
1424368,Delta,2807,ATL,SFO,2024-09-01 08:23,2024-09-01 08:26,2024-09-01 11:23,2024-09-01 11:23,0,,False,True,Boeing 777,N62971,2174
733174,American Airlines,5849,LAX,JFK,2024-09-01 01:52,2024-09-01 02:22,2024-09-01 05:52,2024-09-01 05:45,-7,,False,True,Boeing 777,N14799,1756
1527391,American Airlines,401,ATL,SEA,2024-09-01 02:11,2024-09-01 02:30,2024-09-01 03:11,2024-09-01 03:01,-10,,True,False,Boeing 737,N72730,1927
274448,Southwest,6667,ORD,JFK,2024-09-01 08:20,2024-09-01 08:24,2024-09-01 14:20,2024-09-01 14:40,20,Air Traffic Control,True,True,Airbus A320,N20486,2714
909029,American Airlines,9548,LAX,JFK,2024-09-01 10:52,2024-09-01 11:08,2024-09-01 12:52,2024-09-01 13:15,23,Air Traffic Control,True,True,Boeing 777,N50349,143
1583673,Delta,8569,LAX,JFK,2024-09-01 02:20,2024-09-01 02:40,2024-09-01 05:20,2024-09-01 05:17,-3,,True,True,Boeing 777,N16335,2559
1724672,Southwest,9982,JFK,SEA,2024-09-01 21:59,2024-09-01 21:59,2024-09-02 00:59,2024-09-02 01:28,29,Maintenance,False,False,Boeing 777,N25785,1187
272766,American Airlines,8103,LAX,MIA,2024-09-01 04:36,2024-09-01 04:41,2024-09-01 05:36,2024-09-01 05:51,15,Air Traffic Control,False,False,Airbus A320,N93312,1928
1571611,United,7770,DFW,BOS,2024-09-01 15:45,2024-09-01 15:50,2024-09-01 21:45,2024-09-01 22:14,29,Air Traffic Control,False,False,Boeing 777,N33653,1399
114021,United,6213,ORD,SFO,2024-09-01 19:17,2024-09-01 19:41,2024-09-01 20:17,2024-09-01 20:33,16,Air Traffic Control,True,True,Airbus A320,N37853,1635
324038,Delta,3788,ATL,BOS,2024-09-01 11:09,2024-09-01 11:32,2024-09-01 12:09,2024-09-01 12:04,-5,,True,True,Boeing 777,N83227,226
1668577,Southwest,6678,ATL,JFK,2024-09-01 12:16,2024-09-01 12:32,2024-09-01 17:16,2024-09-01 17:42,26,Maintenance,True,True,Airbus A320,N79386,2470
1697997,United,5337,ORD,JFK,2024-09-01 01:33,2024-09-01 01:43,2024-09-01 02:33,2024-09-01 02:59,26,Air Traffic Control,True,True,Airbus A320,N13521,1519
407315,Southwest,6220,DFW,SFO,2024-09-01 06:24,2024-09-01 06:49,2024-09-01 09:24,2024-09-01 09:43,19,Air Traffic Control,False,True,Boeing 777,N72248,432
1023544,Southwest,9168,ORD,BOS,2024-09-01 03:38,2024-09-01 04:00,2024-09-01 06:38,2024-09-01 06:30,-8,,False,True,Airbus A320,N57424,671
1253315,American Airlines,8126,LAX,BOS,2024-09-01 20:36,2024-09-01 21:04,2024-09-01 21:36,2024-09-01 21:56,20,Weather,True,True,Boeing 777,N16925,2260
1389356,United,2276,LAX,BOS,2024-09-01 20:16,2024-09-01 20:29,2024-09-02 01:16,2024-09-02 01:23,7,Maintenance,False,False,Boeing 777,N35237,1545
927467,American Airlines,4802,ATL,MIA,2024-09-01 03:28,2024-09-01 03:31,2024-09-01 05:28,2024-09-01 05:39,11,Weather,True,False,Boeing 777,N84015,2582
1156395,United,7898,DFW,JFK,2024-09-01 01:52,2024-09-01 01:57,2024-09-01 07:52,2024-09-01 08:21,29,Air Traffic Control,True,False,Boeing 777,N29526,2492
542049,Southwest,5100,JFK,JFK,2024-09-01 11:32,2024-09-01 11:36,2024-09-01 16:32,2024-09-01 16:36,4,Weather,True,True,Airbus A320,N22383,276
1682132,Southwest,4281,ORD,SEA,2024-09-01 12:31,2024-09-01 12:44,2024-09-01 13:31,2024-09-01 13:23,-8,,True,False,Boeing 737,N54198,2831
1495917,Delta,3019,JFK,BOS,2024-09-01 13:24,2024-09-01 13:29,2024-09-01 15:24,2024-09-01 15:35,11,Air Traffic Control,False,False,Boeing 737,N10172,1430
1663651,Southwest,5262,ATL,JFK,2024-09-01 22:34,2024-09-01 22:40,2024-09-01 23:34,2024-09-01 23:39,5,Weather,True,True,Boeing 737,N55303,403
1201703,Southwest,4993,JFK,MIA,2024-09-01 10:51,2024-09-01 11:14,2024-09-01 15:51,2024-09-01 16:13,22,Air Traffic Control,False,True,Airbus A320,N39482,353
1467944,Delta,9480,JFK,JFK,2024-09-01 06:21,2024-09-01 06:23,2024-09-01 09:21,2024-09-01 09:50,29,Weather,True,True,Boeing 737,N67946,463
977201,United,9051,ATL,SFO,2024-09-01 05:03,2024-09-01 05:09,2024-09-01 10:03,2024-09-01 10:25,22,Air Traffic Control,True,True,Airbus A320,N20193,2547
1051650,Southwest,1783,ORD,SFO,2024-09-01 09:13,2024-09-01 09:27,2024-09-01 14:13,2024-09-01 14:43,30,Weather,True,False,Airbus A320,N27537,368
476540,Delta,5994,JFK,SFO,2024-09-01 07:24,2024-09-01 07:49,2024-09-01 08:24,2024-09-01 08:54,30,Maintenance,True,True,Airbus A320,N25258,1234
294615,Southwest,2520,ORD,JFK,2024-09-01 10:50,2024-09-01 10:51,2024-09-01 11:50,2024-09-01 11:49,-1,,True,False,Boeing 737,N89291,882
1483085,Southwest,8598,ORD,SFO,2024-09-01 12:04,2024-09-01 12:32,2024-09-01 18:04,2024-09-01 18:23,19,Air Traffic Control,True,True,Boeing 737,N30811,2720
980612,Southwest,4565,JFK,MIA,2024-09-01 07:21,2024-09-01 07:28,2024-09-01 12:21,2024-09-01 12:30,9,Air Traffic Control,True,True,Boeing 737,N85089,2407
1728970,United,7762,DFW,MIA,2024-09-01 12:24,2024-09-01 12:32,2024-09-01 16:24,2024-09-01 16:44,20,Air Traffic Control,False,False,Boeing 777,N61084,2312
1415697,United,7572,ORD,SFO,2024-09-01 09:54,2024-09-01 10:05,2024-09-01 15:54,2024-09-01 15:50,-4,,False,True,Boeing 777,N21448,2626
29807,Delta,5521,ATL,BOS,2024-09-01 18:14,2024-09-01 18:15,2024-09-01 20:14,2024-09-01 20:23,9,Air Traffic Control,True,False,Airbus A320,N43751,431
79346,Delta,241,JFK,BOS,2024-09-01 10:55,2024-09-01 10:55,2024-09-01 15:55,2024-09-01 16:15,20,Weather,True,True,Airbus A320,N21213,116
1370832,Southwest,1012,LAX,SEA,2024-09-01 18:38,2024-09-01 18:59,2024-09-01 20:38,2024-09-01 20:57,19,Air Traffic Control,False,True,Airbus A320,N25722,413
522649,Delta,8482,DFW,JFK,2024-09-01 02:03,2024-09-01 02:33,2024-09-01 07:03,2024-09-01 06:57,-6,,False,False,Boeing 777,N44191,2491
1249219,United,7506,DFW,MIA,2024-09-01 10:36,2024-09-01 10:46,2024-09-01 14:36,2024-09-01 14:28,-8,,True,True,Boeing 737,N19410,1912
1089045,American Airlines,8771,LAX,SEA,2024-09-01 01:05,2024-09-01 01:15,2024-09-01 03:05,2024-09-01 03:11,6,Weather,True,False,Airbus A320,N60101,2772
1537329,American Airlines,8809,LAX,SEA,2024-09-01 21:34,2024-09-01 21:46,2024-09-02 03:34,2024-09-02 04:01,27,Maintenance,False,True,Boeing 737,N62154,1149
650856,American Airlines,7741,JFK,MIA,2024-09-01 20:25,2024-09-01 20:28,2024-09-02 00:25,2024-09-02 00:23,-2,,True,True,Boeing 737,N40651,424
699444,United,3251,ATL,JFK,2024-09-01 04:40,2024-09-01 04:54,2024-09-01 08:40,2024-09-01 09:02,22,Weather,True,True,Boeing 777,N85165,1225
445844,American Airlines,9986,LAX,BOS,2024-09-01 09:15,2024-09-01 09:35,2024-09-01 10:15,2024-09-01 10:35,20,Maintenance,True,True,Boeing 777,N64360,382
1575882,American Airlines,9626,DFW,JFK,2024-09-01 05:09,2024-09-01 05:30,2024-09-01 07:09,2024-09-01 07:08,-1,,False,False,Boeing 737,N85734,2239
1681471,Southwest,9340,DFW,SEA,2024-09-01 10:44,2024-09-01 11:01,2024-09-01 14:44,2024-09-01 15:12,28,Maintenance,False,True,Airbus A320,N66736,2704
590810,Delta,7011,ORD,SEA,2024-09-01 15:07,2024-09-01 15:30,2024-09-01 19:07,2024-09-01 19:14,7,Maintenance,True,True,Boeing 737,N55660,162
691057,Southwest,7242,JFK,MIA,2024-09-01 17:07,2024-09-01 17:33,2024-09-01 21:07,2024-09-01 21:07,0,,False,True,Boeing 777,N16846,2604
545052,United,5923,ATL,SFO,2024-09-01 11:10,2024-09-01 11:25,2024-09-01 12:10,2024-09-01 12:27,17,Weather,True,True,Boeing 777,N82144,2804
1695222,United,7636,JFK,SEA,2024-09-01 07:31,2024-09-01 07:37,2024-09-01 12:31,2024-09-01 12:28,-3,,False,False,Boeing 777,N95836,2939
955799,Delta,5371,ATL,SEA,2024-09-01 00:11,2024-09-01 00:37,2024-09-01 05:11,2024-09-01 05:07,-4,,False,True,Airbus A320,N34590,2088
1186890,American Airlines,3777,DFW,MIA,2024-09-01 23:52,2024-09-02 00:03,2024-09-02 04:52,2024-09-02 04:51,-1,,False,True,Airbus A320,N72677,1024
1320036,United,6930,LAX,BOS,2024-09-01 00:28,2024-09-01 00:49,2024-09-01 03:28,2024-09-01 03:31,3,Air Traffic Control,True,True,Airbus A320,N24197,739
924112,American Airlines,8530,DFW,BOS,2024-09-01 22:34,2024-09-01 22:54,2024-09-02 03:34,2024-09-02 03:34,0,,False,False,Boeing 777,N23935,683
1654298,Delta,4544,JFK,MIA,2024-09-01 12:30,2024-09-01 12:58,2024-09-01 18:30,2024-09-01 18:23,-7,,True,False,Boeing 737,N45245,1619
1350244,American Airlines,1387,ORD,SFO,2024-09-01 13:47,2024-09-01 14:07,2024-09-01 19:47,2024-09-01 20:11,24,Maintenance,True,True,Boeing 777,N92610,2347
839280,Delta,2711,LAX,SFO,2024-09-01 05:24,2024-09-01 05:32,2024-09-01 09:24,2024-09-01 09:16,-8,,False,False,Airbus A320,N61117,371
20796,United,6358,DFW,BOS,2024-09-01 09:33,2024-09-01 09:46,2024-09-01 14:33,2024-09-01 14:50,17,Air Traffic Control,False,True,Boeing 777,N19694,2132
1586388,American Airlines,7927,ORD,JFK,2024-09-01 23:55,2024-09-02 00:08,2024-09-02 01:55,2024-09-02 02:07,12,Air Traffic Control,True,False,Airbus A320,N54637,2083
853586,Delta,3676,JFK,JFK,2024-09-01 16:49,2024-09-01 17:19,2024-09-01 22:49,2024-09-01 23:15,26,Air Traffic Control,False,True,Boeing 737,N20380,2212
1185118,Southwest,6128,LAX,MIA,2024-09-01 05:13,2024-09-01 05:38,2024-09-01 07:13,2024-09-01 07:22,9,Maintenance,True,False,Boeing 777,N63282,2527
500764,Southwest,2351,DFW,MIA,2024-09-01 06:41,2024-09-01 06:41,2024-09-01 10:41,2024-09-01 11:09,28,Air Traffic Control,False,False,Boeing 777,N12412,342
309724,United,7027,JFK,JFK,2024-09-01 07:51,2024-09-01 08:12,2024-09-01 08:51,2024-09-01 09:14,23,Air Traffic Control,False,False,Airbus A320,N13244,994
637039,United,3977,LAX,SFO,2024-09-01 11:11,2024-09-01 11:23,2024-09-01 13:11,2024-09-01 13:36,25,Air Traffic Control,False,True,Airbus A320,N77014,257
1509068,United,6092,DFW,BOS,2024-09-01 07:49,2024-09-01 08:11,2024-09-01 10:49,2024-09-01 10:43,-6,,False,False,Boeing 777,N36732,2324
1668620,American Airlines,1971,LAX,JFK,2024-09-01 03:16,2024-09-01 03:42,2024-09-01 07:16,2024-09-01 07:14,-2,,True,False,Airbus A320,N15115,1799
1121783,Delta,7252,JFK,MIA,2024-09-01 13:47,2024-09-01 14:14,2024-09-01 17:47,2024-09-01 18:04,17,Weather,True,True,Boeing 737,N54372,2073
335170,United,3738,JFK,BOS,2024-09-01 06:20,2024-09-01 06:32,2024-09-01 12:20,2024-09-01 12:37,17,Air Traffic Control,False,True,Airbus A320,N30609,928
1165044,Southwest,3326,JFK,MIA,2024-09-01 14:10,2024-09-01 14:23,2024-09-01 17:10,2024-09-01 17:35,25,Maintenance,False,True,Boeing 737,N92504,1999
1498533,Southwest,3442,ORD,BOS,2024-09-01 23:52,2024-09-01 23:59,2024-09-02 01:52,2024-09-02 01:58,6,Air Traffic Control,True,False,Airbus A320,N68373,1539
1478508,United,1566,ORD,SFO,2024-09-01 23:17,2024-09-01 23:31,2024-09-02 04:17,2024-09-02 04:27,10,Air Traffic Control,True,False,Boeing 737,N69339,1923
969376,Delta,8709,DFW,SEA,2024-09-01 22:04,2024-09-01 22:18,2024-09-02 02:04,2024-09-02 02:13,9,Maintenance,True,True,Airbus A320,N69904,1808
1496775,United,7088,DFW,JFK,2024-09-01 09:08,2024-09-01 09:11,2024-09-01 14:08,2024-09-01 14:28,20,Air Traffic Control,True,True,Boeing 737,N73432,2452
362337,Delta,4102,ORD,SFO,2024-09-01 02:43,2024-09-01 02:45,2024-09-01 08:43,2024-09-01 09:11,28,Air Traffic Control,False,True,Boeing 737,N25934,290
1114950,American Airlines,1807,JFK,BOS,2024-09-01 15:26,2024-09-01 15:56,2024-09-01 17:26,2024-09-01 17:26,0,,True,True,Airbus A320,N21792,525
5764,Southwest,3591,JFK,SEA,2024-09-01 17:29,2024-09-01 17:39,2024-09-01 20:29,2024-09-01 20:46,17,Weather,False,False,Airbus A320,N36669,1797
416994,Southwest,8002,ATL,SFO,2024-09-01 17:44,2024-09-01 17:57,2024-09-01 22:44,2024-09-01 23:03,19,Air Traffic Control,False,False,Boeing 777,N69925,1637
340784,Southwest,4820,DFW,SFO,2024-09-01 13:51,2024-09-01 13:55,2024-09-01 16:51,2024-09-01 17:21,30,Maintenance,False,True,Boeing 737,N52674,351
312612,Southwest,4006,ORD,BOS,2024-09-01 10:24,2024-09-01 10:54,2024-09-01 14:24,2024-09-01 14:37,13,Weather,False,True,Boeing 777,N85069,2812
1240670,Southwest,9884,ATL,MIA,2024-09-01 14:52,2024-09-01 14:55,2024-09-01 15:52,2024-09-01 16:11,19,Air Traffic Control,False,False,Airbus A320,N43180,1351
568292,United,8888,ATL,SFO,2024-09-01 09:22,2024-09-01 09:34,2024-09-01 11:22,2024-09-01 11:21,-1,,False,False,Boeing 737,N10820,2394
744643,Delta,7539,ORD,JFK,2024-09-01 11:38,2024-09-01 11:40,2024-09-01 12:38,2024-09-01 12:47,9,Weather,True,True,Boeing 737,N40330,1855
689922,United,7692,ATL,SEA,2024-09-01 08:04,2024-09-01 08:30,2024-09-01 14:04,2024-09-01 14:03,-1,,True,True,Boeing 777,N75147,1668
1693866,Southwest,3150,LAX,SEA,2024-09-01 16:52,2024-09-01 16:53,2024-09-01 17:52,2024-09-01 18:10,18,Weather,False,False,Boeing 777,N24287,2836
883079,United,5267,ATL,MIA,2024-09-01 09:15,2024-09-01 09:20,2024-09-01 15:15,2024-09-01 15:16,1,Maintenance,False,False,Airbus A320,N34847,1866
731013,United,8012,LAX,MIA,2024-09-01 16:34,2024-09-01 16:53,2024-09-01 18:34,2024-09-01 18:40,6,Maintenance,False,False,Boeing 737,N65811,1132
898268,United,345,JFK,BOS,2024-09-01 18:55,2024-09-01 19:08,2024-09-01 22:55,2024-09-01 23:15,20,Weather,False,False,Boeing 777,N56289,1270
1268180,Southwest,2176,LAX,SEA,2024-09-01 14:23,2024-09-01 14:39,2024-09-01 17:23,2024-09-01 17:18,-5,,False,True,Airbus A320,N55062,862
439202,American Airlines,7891,ATL,JFK,2024-09-01 08:11,2024-09-01 08:16,2024-09-01 10:11,2024-09-01 10:19,8,Air Traffic Control,False,False,Boeing 737,N47664,1974
1687558,Southwest,4176,JFK,SFO,2024-09-01 08:06,2024-09-01 08:35,2024-09-01 14:06,2024-09-01 14:36,30,Maintenance,True,True,Boeing 737,N52199,2927
747996,American Airlines,9910,JFK,SEA,2024-09-01 22:09,2024-09-01 22:23,2024-09-02 03:09,2024-09-02 03:24,15,Maintenance,True,False,Boeing 737,N87846,382
1631160,American Airlines,744,ATL,SFO,2024-09-01 15:54,2024-09-01 16:13,2024-09-01 20:54,2024-09-01 21:18,24,Maintenance,True,False,Boeing 777,N27732,1358
1744440,American Airlines,5115,ORD,MIA,2024-09-01 21:35,2024-09-01 21:51,2024-09-02 03:35,2024-09-02 03:33,-2,,False,False,Boeing 737,N14469,1046
364520,Delta,7657,ORD,MIA,2024-09-01 18:59,2024-09-01 19:17,2024-09-01 21:59,2024-09-01 22:21,22,Maintenance,True,False,Boeing 777,N24098,137
1219170,Southwest,7762,LAX,MIA,2024-09-01 09:39,2024-09-01 10:04,2024-09-01 10:39,2024-09-01 10:56,17,Air Traffic Control,True,True,Airbus A320,N10133,457
185663,Southwest,2680,ORD,MIA,2024-09-01 19:47,2024-09-01 20:02,2024-09-02 01:47,2024-09-02 01:58,11,Air Traffic Control,False,False,Boeing 777,N78114,864
400239,Delta,9825,JFK,MIA,2024-09-01 17:51,2024-09-01 18:06,2024-09-01 22:51,2024-09-01 22:42,-9,,False,False,Boeing 777,N72023,1814
172756,American Airlines,8189,DFW,BOS,2024-09-01 01:04,2024-09-01 01:09,2024-09-01 04:04,2024-09-01 04:20,16,Weather,False,False,Airbus A320,N39090,2603
1408350,Southwest,1102,ATL,SEA,2024-09-01 08:27,2024-09-01 08:27,2024-09-01 11:27,2024-09-01 11:43,16,Maintenance,True,True,Boeing 737,N16249,1766
645277,Southwest,9597,LAX,SEA,2024-09-01 18:43,2024-09-01 19:03,2024-09-01 23:43,2024-09-01 23:58,15,Weather,False,True,Boeing 737,N23926,637
522240,American Airlines,4171,DFW,SFO,2024-09-01 18:11,2024-09-01 18:21,2024-09-02 00:11,2024-09-02 00:05,-6,,False,False,Boeing 737,N77845,1296
688705,Delta,7863,LAX,BOS,2024-09-01 00:03,2024-09-01 00:28,2024-09-01 04:03,2024-09-01 04:18,15,Maintenance,False,False,Boeing 737,N31847,2929
1511077,United,959,LAX,SFO,2024-09-01 06:53,2024-09-01 07:04,2024-09-01 08:53,2024-09-01 09:01,8,Weather,True,False,Airbus A320,N74518,892
1525114,United,6231,ATL,SEA,2024-09-01 23:54,2024-09-02 00:13,2024-09-02 02:54,2024-09-02 02:47,-7,,False,True,Airbus A320,N81177,2365
484981,American Airlines,9310,ATL,SFO,2024-09-01 08:30,2024-09-01 08:35,2024-09-01 10:30,2024-09-01 10:43,13,Maintenance,False,False,Boeing 737,N96199,1329
1658407,Delta,4045,ATL,JFK,2024-09-01 00:15,2024-09-01 00:43,2024-09-01 04:15,2024-09-01 04:30,15,Air Traffic Control,False,True,Boeing 737,N41684,1875
690566,American Airlines,5795,LAX,SEA,2024-09-01 07:17,2024-09-01 07:23,2024-09-01 13:17,2024-09-01 13:09,-8,,False,True,Airbus A320,N49335,2459
1441881,American Airlines,8365,ATL,BOS,2024-09-01 00:08,2024-09-01 00:16,2024-09-01 01:08,2024-09-01 01:15,7,Air Traffic Control,False,False,Boeing 737,N44872,1650
1220047,United,4791,DFW,SFO,2024-09-01 08:59,2024-09-01 09:14,2024-09-01 12:59,2024-09-01 12:53,-6,,False,True,Airbus A320,N68277,1073
1487486,United,9213,LAX,SFO,2024-09-01 15:29,2024-09-01 15:53,2024-09-01 20:29,2024-09-01 20:30,1,Maintenance,True,False,Boeing 777,N56772,1425
1600564,American Airlines,1423,LAX,BOS,2024-09-01 09:10,2024-09-01 09:20,2024-09-01 12:10,2024-09-01 12:23,13,Air Traffic Control,False,False,Airbus A320,N58936,1559
187020,Southwest,715,DFW,JFK,2024-09-01 22:44,2024-09-01 23:10,2024-09-01 23:44,2024-09-02 00:14,30,Air Traffic Control,True,False,Boeing 737,N19868,498
197863,Delta,3840,LAX,MIA,2024-09-01 17:28,2024-09-01 17:29,2024-09-01 23:28,2024-09-01 23:27,-1,,False,False,Boeing 737,N60989,2430
1265006,Southwest,5853,ATL,SFO,2024-09-01 11:14,2024-09-01 11:43,2024-09-01 12:14,2024-09-01 12:11,-3,,True,False,Boeing 737,N32571,634
391918,United,8849,ORD,MIA,2024-09-01 20:39,2024-09-01 20:48,2024-09-02 01:39,2024-09-02 01:38,-1,,True,True,Boeing 737,N81745,2526
1678816,Delta,5117,DFW,SEA,2024-09-01 20:21,2024-09-01 20:50,2024-09-01 22:21,2024-09-01 22:33,12,Maintenance,False,True,Airbus A320,N98507,2418
1405210,American Airlines,233,ORD,BOS,2024-09-01 10:01,2024-09-01 10:15,2024-09-01 11:01,2024-09-01 11:20,19,Air Traffic Control,False,True,Airbus A320,N80452,321
742141,United,9431,LAX,JFK,2024-09-01 07:05,2024-09-01 07:16,2024-09-01 10:05,2024-09-01 10:15,10,Air Traffic Control,True,True,Airbus A320,N42200,1375
654041,Delta,2008,ORD,BOS,2024-09-01 10:16,2024-09-01 10:41,2024-09-01 11:16,2024-09-01 11:09,-7,,False,True,Boeing 777,N72622,876
881844,United,118,ORD,MIA,2024-09-01 13:44,2024-09-01 13:52,2024-09-01 18:44,2024-09-01 18:54,10,Maintenance,False,False,Boeing 737,N27185,2363
578356,American Airlines,5585,LAX,SEA,2024-09-01 05:29,2024-09-01 05:57,2024-09-01 08:29,2024-09-01 08:54,25,Air Traffic Control,True,True,Boeing 777,N25216,1940
1682626,American Airlines,3055,DFW,SEA,2024-09-01 01:51,2024-09-01 02:10,2024-09-01 04:51,2024-09-01 04:55,4,Air Traffic Control,False,False,Boeing 777,N63332,2759
903428,Southwest,8331,ATL,SEA,2024-09-01 13:58,2024-09-01 14:19,2024-09-01 17:58,2024-09-01 18:20,22,Air Traffic Control,False,False,Boeing 777,N13655,1967
1558962,Delta,6258,ORD,BOS,2024-09-01 15:01,2024-09-01 15:26,2024-09-01 21:01,2024-09-01 21:27,26,Weather,True,True,Boeing 777,N79589,1435
765213,American Airlines,9613,DFW,JFK,2024-09-01 17:36,2024-09-01 17:49,2024-09-01 21:36,2024-09-01 22:03,27,Weather,False,False,Boeing 777,N20257,480
1295775,American Airlines,2405,LAX,MIA,2024-09-01 10:49,2024-09-01 11:18,2024-09-01 14:49,2024-09-01 15:14,25,Air Traffic Control,False,False,Boeing 777,N31069,1549
104876,United,5534,DFW,BOS,2024-09-01 18:36,2024-09-01 19:05,2024-09-01 19:36,2024-09-01 19:52,16,Maintenance,True,False,Airbus A320,N72992,2745
